Codigo;Provincias;Periodo;Total
01;Álava/Araba;1981;1557
01;Álava/Araba;1980;1762
01;Álava/Araba;1979;1908
01;Álava/Araba;1978;2076
01;Álava/Araba;1977;2112
01;Álava/Araba;1976;1745
01;Álava/Araba;1975;2061
33;Asturias;2021;2875
33;Asturias;2020;1807
33;Asturias;2019;3255
33;Asturias;2018;3425
33;Asturias;2017;3569
33;Asturias;2016;3679
33;Asturias;2015;3483
33;Asturias;2014;3498
33;Asturias;2013;3327
33;Asturias;2012;3968
33;Asturias;2011;3884
33;Asturias;2010;4233
33;Asturias;2009;4485
33;Asturias;2008;4775
33;Asturias;2007;4857
33;Asturias;2006;4810
33;Asturias;2005;4905
33;Asturias;2004;4958
33;Asturias;2003;4999
33;Asturias;2002;4895
33;Asturias;2001;4771
33;Asturias;2000;4934
33;Asturias;1999;4735
33;Asturias;1998;4628
33;Asturias;1997;4548
33;Asturias;1996;4401
33;Asturias;1995;4512
33;Asturias;1994;4643
33;Asturias;1993;4747
33;Asturias;1992;5347
33;Asturias;1991;5433
33;Asturias;1990;5454
33;Asturias;1989;5426
33;Asturias;1988;5541
33;Asturias;1987;5693
33;Asturias;1986;5803
33;Asturias;1985;5910
33;Asturias;1984;6067
33;Asturias;1983;5905
33;Asturias;1982;6125
33;Asturias;1981;5890
33;Asturias;1980;6796
33;Asturias;1979;7344
33;Asturias;1978;7705
33;Asturias;1977;7939
33;Asturias;1976;7877
33;Asturias;1975;8262
05;Ávila;2021;379
05;Ávila;2020;234
05;Ávila;2019;437
05;Ávila;2018;436
05;Ávila;2017;435
05;Ávila;2016;460
05;Ávila;2015;434
05;Ávila;2014;425
05;Ávila;2013;433
05;Ávila;2012;465
05;Ávila;2011;466
05;Ávila;2010;500
05;Ávila;2009;531
05;Ávila;2008;596
05;Ávila;2007;579
05;Ávila;2006;594
05;Ávila;2005;588
05;Ávila;2004;603
05;Ávila;2003;621
05;Ávila;2002;629
05;Ávila;2001;604
05;Ávila;2000;635
05;Ávila;1999;608
05;Ávila;1998;633
05;Ávila;1997;611
05;Ávila;1996;599
05;Ávila;1995;700
05;Ávila;1994;736
05;Ávila;1993;681
05;Ávila;1992;797
05;Ávila;1991;766
05;Ávila;1990;774
05;Ávila;1989;802
05;Ávila;1988;826
05;Ávila;1987;817
05;Ávila;1986;822
05;Ávila;1985;689
05;Ávila;1984;847
05;Ávila;1983;768
05;Ávila;1982;769
05;Ávila;1981;761
05;Ávila;1980;879
05;Ávila;1979;892
05;Ávila;1978;806
05;Ávila;1977;801
05;Ávila;1976;871
05;Ávila;1975;934
06;Badajoz;2021;1852
06;Badajoz;2020;996
06;Badajoz;2019;2166
06;Badajoz;2018;2156
06;Badajoz;2017;2304
06;Badajoz;2016;2311
06;Badajoz;2015;2271
06;Badajoz;2014;2160
06;Badajoz;2013;2044
06;Badajoz;2012;2452
06;Badajoz;2011;2368
06;Badajoz;2010;2682
06;Badajoz;2009;2832
06;Badajoz;2008;2917
06;Badajoz;2007;2892
06;Badajoz;2006;3083
06;Badajoz;2005;3050
06;Badajoz;2004;3158
06;Badajoz;2003;3193
06;Badajoz;2002;3148
06;Badajoz;2001;3304
06;Badajoz;2000;3442
06;Badajoz;1999;3206
06;Badajoz;1998;3194
06;Badajoz;1997;3128
06;Badajoz;1996;2966
06;Badajoz;1995;3278
06;Badajoz;1994;3161
06;Badajoz;1993;3373
06;Badajoz;1992;3712
06;Badajoz;1991;3775
06;Badajoz;1990;3779
06;Badajoz;1989;3900
06;Badajoz;1988;3871
06;Badajoz;1987;3929
06;Badajoz;1986;4099
06;Badajoz;1985;3815
06;Badajoz;1984;3788
06;Badajoz;1983;3849
06;Badajoz;1982;3840
06;Badajoz;1981;3874
06;Badajoz;1980;3943
06;Badajoz;1979;4044
06;Badajoz;1978;4079
06;Badajoz;1977;3830
06;Badajoz;1976;3885
06;Badajoz;1975;3687
07;Balears, Illes;2021;4166
07;Balears, Illes;2020;2847
07;Balears, Illes;2019;4880
07;Balears, Illes;2018;4615
07;Balears, Illes;2017;4570
07;Balears, Illes;2016;4593
07;Balears, Illes;2015;4496
07;Balears, Illes;2014;4104
07;Balears, Illes;2013;3942
07;Balears, Illes;2012;3925
07;Balears, Illes;2011;3950
07;Balears, Illes;2010;3947
07;Balears, Illes;2009;4151
07;Balears, Illes;2008;4138
07;Balears, Illes;2007;4345
07;Balears, Illes;2006;4260
07;Balears, Illes;2005;4267
07;Balears, Illes;2004;4555
07;Balears, Illes;2003;4651
07;Balears, Illes;2002;4581
07;Balears, Illes;2001;4326
07;Balears, Illes;2000;4499
07;Balears, Illes;1999;4503
07;Balears, Illes;1998;4402
07;Balears, Illes;1997;4116
07;Balears, Illes;1996;4143
07;Balears, Illes;1995;4100
07;Balears, Illes;1994;4215
07;Balears, Illes;1993;4090
07;Balears, Illes;1992;4336
07;Balears, Illes;1991;4413
07;Balears, Illes;1990;4606
07;Balears, Illes;1989;4740
07;Balears, Illes;1988;4557
07;Balears, Illes;1987;4304
07;Balears, Illes;1986;4164
07;Balears, Illes;1985;4014
07;Balears, Illes;1984;4082
07;Balears, Illes;1983;4028
07;Balears, Illes;1982;3748
07;Balears, Illes;1981;3484
07;Balears, Illes;1980;3882
07;Balears, Illes;1979;4366
07;Balears, Illes;1978;4329
07;Balears, Illes;1977;4499
07;Balears, Illes;1976;4718
07;Balears, Illes;1975;4959
08;Barcelona;2021;16506
08;Barcelona;2020;10954
08;Barcelona;2019;19122
08;Barcelona;2018;20014
08;Barcelona;2017;21223
08;Barcelona;2016;21230
08;Barcelona;2015;19812
08;Barcelona;2014;19181
08;Barcelona;2013;18795
08;Barcelona;2012;19757
08;Barcelona;2011;19066
08;Barcelona;2010;20162
08;Barcelona;2009;20303
08;Barcelona;2008;22430
08;Barcelona;2007;22382
08;Barcelona;2006;22831
08;Barcelona;2005;24133
08;Barcelona;2004;25101
08;Barcelona;2003;24352
08;Barcelona;2002;24931
08;Barcelona;2001;24759
08;Barcelona;2000;25982
08;Barcelona;1999;24978
08;Barcelona;1998;25743
08;Barcelona;1997;24194
08;Barcelona;1996;24334
08;Barcelona;1995;24903
08;Barcelona;1994;24420
08;Barcelona;1993;24710
08;Barcelona;1992;26050
08;Barcelona;1991;26766
08;Barcelona;1990;26054
08;Barcelona;1989;26130
08;Barcelona;1988;25484
08;Barcelona;1987;24552
08;Barcelona;1986;23547
08;Barcelona;1985;23470
08;Barcelona;1984;21588
08;Barcelona;1983;19355
08;Barcelona;1982;20317
08;Barcelona;1981;20196
08;Barcelona;1980;22533
08;Barcelona;1979;27219
08;Barcelona;1978;30602
08;Barcelona;1977;33446
08;Barcelona;1976;35229
08;Barcelona;1975;36251
48;Bizkaia;2021;2840
48;Bizkaia;2020;1881
48;Bizkaia;2019;3529
48;Bizkaia;2018;3561
48;Bizkaia;2017;3790
48;Bizkaia;2016;3777
48;Bizkaia;2015;3608
48;Bizkaia;2014;3599
48;Bizkaia;2013;3632
48;Bizkaia;2012;4094
48;Bizkaia;2011;4204
48;Bizkaia;2010;4297
48;Bizkaia;2009;4307
48;Bizkaia;2008;4731
48;Bizkaia;2007;4753
48;Bizkaia;2006;4740
48;Bizkaia;2005;4979
48;Bizkaia;2004;5155
48;Bizkaia;2003;5163
48;Bizkaia;2002;5152
48;Bizkaia;2001;5206
48;Bizkaia;2000;5576
48;Bizkaia;1999;5220
48;Bizkaia;1998;5357
48;Bizkaia;1997;5033
48;Bizkaia;1996;4909
48;Bizkaia;1995;4975
48;Bizkaia;1994;5042
48;Bizkaia;1993;5176
48;Bizkaia;1992;5639
48;Bizkaia;1991;5441
48;Bizkaia;1990;5368
48;Bizkaia;1989;5393
48;Bizkaia;1988;5367
48;Bizkaia;1987;5494
48;Bizkaia;1986;5647
48;Bizkaia;1985;5365
48;Bizkaia;1984;5788
48;Bizkaia;1983;5932
48;Bizkaia;1982;6535
48;Bizkaia;1981;6358
48;Bizkaia;1980;7295
48;Bizkaia;1979;7825
48;Bizkaia;1978;8613
48;Bizkaia;1977;9128
48;Bizkaia;1976;8914
48;Bizkaia;1975;9659
