Codigo;Provincias;Sexo;Periodo;Total
02;Albacete;Hombres;2009;2114
02;Albacete;Hombres;2008;2122
02;Albacete;Hombres;2007;1922
02;Albacete;Hombres;2006;2079
02;Albacete;Hombres;2005;1964
02;Albacete;Hombres;2004;1943
02;Albacete;Hombres;2003;1982
02;Albacete;Hombres;2002;1862
02;Albacete;Hombres;2001;1838
02;Albacete;Hombres;2000;1869
02;Albacete;Hombres;1999;1909
02;Albacete;Hombres;1998;1906
02;Albacete;Hombres;1997;1917
02;Albacete;Hombres;1996;2004
02;Albacete;Hombres;1995;2044
02;Albacete;Hombres;1994;1998
02;Albacete;Hombres;1993;2050
02;Albacete;Hombres;1992;2108
02;Albacete;Hombres;1991;2084
02;Albacete;Hombres;1990;2265
02;Albacete;Hombres;1989;2201
02;Albacete;Hombres;1988;2175
02;Albacete;Hombres;1987;2286
02;Albacete;Hombres;1986;2268
02;Albacete;Hombres;1985;2311
02;Albacete;Hombres;1984;2483
02;Albacete;Hombres;1983;2595
02;Albacete;Hombres;1982;2739
02;Albacete;Hombres;1981;2627
02;Albacete;Hombres;1980;2685
02;Albacete;Hombres;1979;2817
02;Albacete;Hombres;1978;3085
02;Albacete;Hombres;1977;2958
02;Albacete;Hombres;1976;3134
02;Albacete;Hombres;1975;3072
02;Albacete;Mujeres;2021;1341
02;Albacete;Mujeres;2020;1363
02;Albacete;Mujeres;2019;1385
02;Albacete;Mujeres;2018;1457
02;Albacete;Mujeres;2017;1534
02;Albacete;Mujeres;2016;1613
02;Albacete;Mujeres;2015;1658
02;Albacete;Mujeres;2014;1693
02;Albacete;Mujeres;2013;1702
02;Albacete;Mujeres;2012;1837
02;Albacete;Mujeres;2011;1874
02;Albacete;Mujeres;2010;1994
02;Albacete;Mujeres;2009;2037
02;Albacete;Mujeres;2008;1970
02;Albacete;Mujeres;2007;1760
02;Albacete;Mujeres;2006;1930
02;Albacete;Mujeres;2005;1789
02;Albacete;Mujeres;2004;1707
02;Albacete;Mujeres;2003;1829
02;Albacete;Mujeres;2002;1832
02;Albacete;Mujeres;2001;1799
02;Albacete;Mujeres;2000;1795
02;Albacete;Mujeres;1999;1757
02;Albacete;Mujeres;1998;1790
02;Albacete;Mujeres;1997;1795
02;Albacete;Mujeres;1996;1795
02;Albacete;Mujeres;1995;1850
02;Albacete;Mujeres;1994;1944
02;Albacete;Mujeres;1993;1841
02;Albacete;Mujeres;1992;2050
02;Albacete;Mujeres;1991;1990
02;Albacete;Mujeres;1990;2068
02;Albacete;Mujeres;1989;2079
02;Albacete;Mujeres;1988;2018
02;Albacete;Mujeres;1987;2180
02;Albacete;Mujeres;1986;2123
02;Albacete;Mujeres;1985;2104
02;Albacete;Mujeres;1984;2283
02;Albacete;Mujeres;1983;2244
02;Albacete;Mujeres;1982;2425
02;Albacete;Mujeres;1981;2445
02;Albacete;Mujeres;1980;2523
02;Albacete;Mujeres;1979;2637
02;Albacete;Mujeres;1978;2784
02;Albacete;Mujeres;1977;2742
02;Albacete;Mujeres;1976;2935
02;Albacete;Mujeres;1975;2855
03;Alicante/Alacant;Total;2021;13371
03;Alicante/Alacant;Total;2020;13334
03;Alicante/Alacant;Total;2019;14046
03;Alicante/Alacant;Total;2018;14161
03;Alicante/Alacant;Total;2017;15039
03;Alicante/Alacant;Total;2016;15259
03;Alicante/Alacant;Total;2015;15904
03;Alicante/Alacant;Total;2014;15980
03;Alicante/Alacant;Total;2013;15832
03;Alicante/Alacant;Total;2012;16677
03;Alicante/Alacant;Total;2011;17246
03;Alicante/Alacant;Total;2010;18187
03;Alicante/Alacant;Total;2009;18341
03;Alicante/Alacant;Total;2008;20202
03;Alicante/Alacant;Total;2007;19083
03;Alicante/Alacant;Total;2006;18852
03;Alicante/Alacant;Total;2005;18129
03;Alicante/Alacant;Total;2004;17655
03;Alicante/Alacant;Total;2003;17067
03;Alicante/Alacant;Total;2002;15855
03;Alicante/Alacant;Total;2001;15177
03;Alicante/Alacant;Total;2000;14509
03;Alicante/Alacant;Total;1999;13722
03;Alicante/Alacant;Total;1998;13135
03;Alicante/Alacant;Total;1997;12811
03;Alicante/Alacant;Total;1996;13023
03;Alicante/Alacant;Total;1995;13109
03;Alicante/Alacant;Total;1994;13291
03;Alicante/Alacant;Total;1993;13617
03;Alicante/Alacant;Total;1992;14213
03;Alicante/Alacant;Total;1991;14546
03;Alicante/Alacant;Total;1990;14839
03;Alicante/Alacant;Total;1989;14690
03;Alicante/Alacant;Total;1988;15210
03;Alicante/Alacant;Total;1987;15042
03;Alicante/Alacant;Total;1986;15339
03;Alicante/Alacant;Total;1985;15514
03;Alicante/Alacant;Total;1984;15956
03;Alicante/Alacant;Total;1983;16482
03;Alicante/Alacant;Total;1982;17619
03;Alicante/Alacant;Total;1981;18625
03;Alicante/Alacant;Total;1980;19366
03;Alicante/Alacant;Total;1979;20057
03;Alicante/Alacant;Total;1978;20944
03;Alicante/Alacant;Total;1977;21304
03;Alicante/Alacant;Total;1976;21846
03;Alicante/Alacant;Total;1975;21038
03;Alicante/Alacant;Hombres;2021;6913
03;Alicante/Alacant;Hombres;2020;6829
03;Alicante/Alacant;Hombres;2019;7301
03;Alicante/Alacant;Hombres;2018;7307
03;Alicante/Alacant;Hombres;2017;7711
03;Alicante/Alacant;Hombres;2016;7946
03;Alicante/Alacant;Hombres;2015;8276
03;Alicante/Alacant;Hombres;2014;8182
03;Alicante/Alacant;Hombres;2013;8233
03;Alicante/Alacant;Hombres;2012;8545
03;Alicante/Alacant;Hombres;2011;8904
03;Alicante/Alacant;Hombres;2010;9468
03;Alicante/Alacant;Hombres;2009;9484
03;Alicante/Alacant;Hombres;2008;10446
03;Alicante/Alacant;Hombres;2007;9880
03;Alicante/Alacant;Hombres;2006;9792
03;Alicante/Alacant;Hombres;2005;9336
03;Alicante/Alacant;Hombres;2004;9152
03;Alicante/Alacant;Hombres;2003;8827
03;Alicante/Alacant;Hombres;2002;8150
03;Alicante/Alacant;Hombres;2001;7929
03;Alicante/Alacant;Hombres;2000;7580
03;Alicante/Alacant;Hombres;1999;6948
03;Alicante/Alacant;Hombres;1998;6830
03;Alicante/Alacant;Hombres;1997;6654
03;Alicante/Alacant;Hombres;1996;6704
03;Alicante/Alacant;Hombres;1995;6716
03;Alicante/Alacant;Hombres;1994;6806
03;Alicante/Alacant;Hombres;1993;7027
03;Alicante/Alacant;Hombres;1992;7316
03;Alicante/Alacant;Hombres;1991;7537
03;Alicante/Alacant;Hombres;1990;7697
03;Alicante/Alacant;Hombres;1989;7501
03;Alicante/Alacant;Hombres;1988;7856
03;Alicante/Alacant;Hombres;1987;7818
03;Alicante/Alacant;Hombres;1986;7968
03;Alicante/Alacant;Hombres;1985;7983
03;Alicante/Alacant;Hombres;1984;8453
03;Alicante/Alacant;Hombres;1983;8568
03;Alicante/Alacant;Hombres;1982;9174
03;Alicante/Alacant;Hombres;1981;9579
03;Alicante/Alacant;Hombres;1980;9998
03;Alicante/Alacant;Hombres;1979;10463
03;Alicante/Alacant;Hombres;1978;10914
03;Alicante/Alacant;Hombres;1977;11127
03;Alicante/Alacant;Hombres;1976;11228
03;Alicante/Alacant;Hombres;1975;10878
03;Alicante/Alacant;Mujeres;2021;6458
03;Alicante/Alacant;Mujeres;2020;6505
03;Alicante/Alacant;Mujeres;2019;6745
03;Alicante/Alacant;Mujeres;2018;6854
03;Alicante/Alacant;Mujeres;2017;7328
03;Alicante/Alacant;Mujeres;2016;7313
03;Alicante/Alacant;Mujeres;2015;7628
03;Alicante/Alacant;Mujeres;2014;7798
03;Alicante/Alacant;Mujeres;2013;7599
03;Alicante/Alacant;Mujeres;2012;8132
03;Alicante/Alacant;Mujeres;2011;8342
03;Alicante/Alacant;Mujeres;2010;8719
03;Alicante/Alacant;Mujeres;2009;8857
03;Alicante/Alacant;Mujeres;2008;9756
03;Alicante/Alacant;Mujeres;2007;9203
03;Alicante/Alacant;Mujeres;2006;9060
03;Alicante/Alacant;Mujeres;2005;8793
03;Alicante/Alacant;Mujeres;2004;8503
03;Alicante/Alacant;Mujeres;2003;8240
03;Alicante/Alacant;Mujeres;2002;7705
03;Alicante/Alacant;Mujeres;2001;7248
03;Alicante/Alacant;Mujeres;2000;6929
03;Alicante/Alacant;Mujeres;1999;6774
03;Alicante/Alacant;Mujeres;1998;6305
03;Alicante/Alacant;Mujeres;1997;6157
03;Alicante/Alacant;Mujeres;1996;6319
03;Alicante/Alacant;Mujeres;1995;6393
03;Alicante/Alacant;Mujeres;1994;6485
03;Alicante/Alacant;Mujeres;1993;6590
03;Alicante/Alacant;Mujeres;1992;6897
03;Alicante/Alacant;Mujeres;1991;7009
03;Alicante/Alacant;Mujeres;1990;7142
03;Alicante/Alacant;Mujeres;1989;7189
03;Alicante/Alacant;Mujeres;1988;7354
03;Alicante/Alacant;Mujeres;1987;7224
03;Alicante/Alacant;Mujeres;1986;7371
03;Alicante/Alacant;Mujeres;1985;7531
03;Alicante/Alacant;Mujeres;1984;7503
03;Alicante/Alacant;Mujeres;1983;7914
03;Alicante/Alacant;Mujeres;1982;8445
03;Alicante/Alacant;Mujeres;1981;9046
03;Alicante/Alacant;Mujeres;1980;9368
03;Alicante/Alacant;Mujeres;1979;9594
03;Alicante/Alacant;Mujeres;1978;10030
03;Alicante/Alacant;Mujeres;1977;10177
03;Alicante/Alacant;Mujeres;1976;10618
03;Alicante/Alacant;Mujeres;1975;10160
04;Almería;Total;2021;6888
04;Almería;Total;2020;6874
04;Almería;Total;2019;7287
04;Almería;Total;2018;7417
04;Almería;Total;2017;7562
04;Almería;Total;2016;7816
04;Almería;Total;2015;7937
04;Almería;Total;2014;7859
04;Almería;Total;2013;7770
04;Almería;Total;2012;7975
04;Almería;Total;2011;8299
04;Almería;Total;2010;8512
04;Almería;Total;2009;8472
04;Almería;Total;2008;9135
04;Almería;Total;2007;8475
04;Almería;Total;2006;8425
04;Almería;Total;2005;7829
04;Almería;Total;2004;7505
04;Almería;Total;2003;6974
04;Almería;Total;2002;6484
04;Almería;Total;2001;6496
04;Almería;Total;2000;6074
04;Almería;Total;1999;6116
