Sexo;Edad;Provincias;Periodo;Total
Ambos sexos;Total;02 Albacete;1 de enero de 1982;340.300,428157
Ambos sexos;Total;02 Albacete;1 de enero de 1981;339.618,017249
Ambos sexos;Total;02 Albacete;1 de enero de 1980;340.209,890636
Ambos sexos;Total;02 Albacete;1 de enero de 1979;340.671,39496
Ambos sexos;Total;02 Albacete;1 de enero de 1978;340.836,349113
Ambos sexos;Total;02 Albacete;1 de enero de 1977;341.187,792037
Ambos sexos;Total;02 Albacete;1 de enero de 1976;341.067,950984
Ambos sexos;Total;02 Albacete;1 de enero de 1975;341.202,754174
Ambos sexos;Total;02 Albacete;1 de enero de 1974;341.223,295185
Ambos sexos;Total;02 Albacete;1 de enero de 1973;341.183,949453
Ambos sexos;Total;02 Albacete;1 de enero de 1972;340.895,846175
Ambos sexos;Total;02 Albacete;1 de enero de 1971;340.708,96
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2022;1.904.314,91227
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2021;1.895.191,938537
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2020;1.885.559,326161
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2019;1.862.780,163416
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2018;1.845.469,565247
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2017;1.842.571,979429
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2016;1.842.445,506199
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2015;1.842.174,299592
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2014;1.850.624,43881
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2013;1.854.243,840917
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2012;1.853.208,863622
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2011;1.844.438,725104
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2010;1.840.085,089174
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2009;1.836.134,071574
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2008;1.817.518,513967
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2007;1.766.320,234509
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2006;1.713.934,01887
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2005;1.661.659,536551
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2004;1.602.173,608505
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2003;1.542.318,396148
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2002;1.478.299,244773
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2001;1.447.225,393547
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2000;1.430.451,465805
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 1999;1.414.892,447156
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 1998;1.399.556,193212
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 1997;1.384.692,59144
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 1996;1.369.564,403461
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 1995;1.354.317,215483
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 1994;1.338.876,076286
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 1993;1.323.213,596663
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 1992;1.306.646,890625
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 1991;1.290.865,205276
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 1990;1.278.384,436937
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 1989;1.265.689,221897
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 1988;1.252.370,891881
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 1987;1.238.514,26026
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 1986;1.224.504,416041
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 1985;1.210.243,860171
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 1984;1.195.141,112722
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 1983;1.180.078,812818
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 1982;1.163.933,028281
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 1981;1.145.486,327342
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 1980;1.124.117,36087
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 1979;1.102.416,661788
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 1978;1.080.157,97297
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 1977;1.057.381,042208
