Codigo;Provincias;Sexo;Periodo;Total
02;Albacete;Hombres;2009;1816
02;Albacete;Hombres;2008;1789
02;Albacete;Hombres;2007;1775
02;Albacete;Hombres;2006;1704
02;Albacete;Hombres;2005;1735
02;Albacete;Hombres;2004;1667
02;Albacete;Hombres;2003;1741
02;Albacete;Hombres;2002;1674
02;Albacete;Hombres;2001;1665
02;Albacete;Hombres;2000;1645
02;Albacete;Hombres;1999;1617
02;Albacete;Hombres;1998;1733
02;Albacete;Hombres;1997;1553
02;Albacete;Hombres;1996;1698
02;Albacete;Hombres;1995;1589
02;Albacete;Hombres;1994;1583
02;Albacete;Hombres;1993;1683
02;Albacete;Hombres;1992;1587
02;Albacete;Hombres;1991;1591
02;Albacete;Hombres;1990;1416
02;Albacete;Hombres;1989;1506
02;Albacete;Hombres;1988;1496
02;Albacete;Hombres;1987;1456
02;Albacete;Hombres;1986;1545
02;Albacete;Hombres;1985;1582
02;Albacete;Hombres;1984;1542
02;Albacete;Hombres;1983;1563
02;Albacete;Hombres;1982;1446
02;Albacete;Hombres;1981;1592
02;Albacete;Hombres;1980;1584
02;Albacete;Hombres;1979;1493
02;Albacete;Hombres;1978;1573
02;Albacete;Hombres;1977;1637
02;Albacete;Hombres;1976;1578
02;Albacete;Hombres;1975;1635
02;Albacete;Mujeres;2021;1782
02;Albacete;Mujeres;2020;2396
02;Albacete;Mujeres;2019;1847
02;Albacete;Mujeres;2018;1822
02;Albacete;Mujeres;2017;1845
02;Albacete;Mujeres;2016;1807
02;Albacete;Mujeres;2015;1826
02;Albacete;Mujeres;2014;1757
02;Albacete;Mujeres;2013;1698
02;Albacete;Mujeres;2012;1789
02;Albacete;Mujeres;2011;1678
02;Albacete;Mujeres;2010;1616
02;Albacete;Mujeres;2009;1608
02;Albacete;Mujeres;2008;1624
02;Albacete;Mujeres;2007;1589
02;Albacete;Mujeres;2006;1549
02;Albacete;Mujeres;2005;1609
02;Albacete;Mujeres;2004;1581
02;Albacete;Mujeres;2003;1595
02;Albacete;Mujeres;2002;1478
02;Albacete;Mujeres;2001;1398
02;Albacete;Mujeres;2000;1496
02;Albacete;Mujeres;1999;1452
02;Albacete;Mujeres;1998;1506
02;Albacete;Mujeres;1997;1416
02;Albacete;Mujeres;1996;1426
02;Albacete;Mujeres;1995;1376
02;Albacete;Mujeres;1994;1446
02;Albacete;Mujeres;1993;1480
02;Albacete;Mujeres;1992;1461
02;Albacete;Mujeres;1991;1448
02;Albacete;Mujeres;1990;1250
02;Albacete;Mujeres;1989;1354
02;Albacete;Mujeres;1988;1375
02;Albacete;Mujeres;1987;1404
02;Albacete;Mujeres;1986;1393
02;Albacete;Mujeres;1985;1478
02;Albacete;Mujeres;1984;1361
02;Albacete;Mujeres;1983;1407
02;Albacete;Mujeres;1982;1326
02;Albacete;Mujeres;1981;1384
02;Albacete;Mujeres;1980;1458
02;Albacete;Mujeres;1979;1497
02;Albacete;Mujeres;1978;1491
02;Albacete;Mujeres;1977;1444
02;Albacete;Mujeres;1976;1480
02;Albacete;Mujeres;1975;1519
03;Alicante/Alacant;Total;2021;18391
03;Alicante/Alacant;Total;2020;17555
03;Alicante/Alacant;Total;2019;15908
03;Alicante/Alacant;Total;2018;16270
03;Alicante/Alacant;Total;2017;15974
03;Alicante/Alacant;Total;2016;15155
03;Alicante/Alacant;Total;2015;15853
03;Alicante/Alacant;Total;2014;14877
03;Alicante/Alacant;Total;2013;14541
03;Alicante/Alacant;Total;2012;15206
03;Alicante/Alacant;Total;2011;14248
03;Alicante/Alacant;Total;2010;13993
03;Alicante/Alacant;Total;2009;13682
03;Alicante/Alacant;Total;2008;13866
03;Alicante/Alacant;Total;2007;13739
03;Alicante/Alacant;Total;2006;13175
03;Alicante/Alacant;Total;2005;13527
03;Alicante/Alacant;Total;2004;13004
03;Alicante/Alacant;Total;2003;13380
03;Alicante/Alacant;Total;2002;12552
03;Alicante/Alacant;Total;2001;12466
03;Alicante/Alacant;Total;2000;11963
03;Alicante/Alacant;Total;1999;12231
03;Alicante/Alacant;Total;1998;11584
03;Alicante/Alacant;Total;1997;11457
03;Alicante/Alacant;Total;1996;11151
03;Alicante/Alacant;Total;1995;10924
03;Alicante/Alacant;Total;1994;10788
03;Alicante/Alacant;Total;1993;10765
03;Alicante/Alacant;Total;1992;10337
03;Alicante/Alacant;Total;1991;10461
03;Alicante/Alacant;Total;1990;10520
03;Alicante/Alacant;Total;1989;10378
03;Alicante/Alacant;Total;1988;10227
03;Alicante/Alacant;Total;1987;9547
03;Alicante/Alacant;Total;1986;9584
03;Alicante/Alacant;Total;1985;9388
03;Alicante/Alacant;Total;1984;8843
03;Alicante/Alacant;Total;1983;9217
03;Alicante/Alacant;Total;1982;9120
03;Alicante/Alacant;Total;1981;9055
03;Alicante/Alacant;Total;1980;9028
03;Alicante/Alacant;Total;1979;9157
03;Alicante/Alacant;Total;1978;9253
03;Alicante/Alacant;Total;1977;8994
03;Alicante/Alacant;Total;1976;9066
03;Alicante/Alacant;Total;1975;9037
03;Alicante/Alacant;Hombres;2021;9775
03;Alicante/Alacant;Hombres;2020;9381
03;Alicante/Alacant;Hombres;2019;8458
03;Alicante/Alacant;Hombres;2018;8500
03;Alicante/Alacant;Hombres;2017;8370
03;Alicante/Alacant;Hombres;2016;7910
03;Alicante/Alacant;Hombres;2015;8311
03;Alicante/Alacant;Hombres;2014;7754
03;Alicante/Alacant;Hombres;2013;7610
03;Alicante/Alacant;Hombres;2012;8098
03;Alicante/Alacant;Hombres;2011;7534
03;Alicante/Alacant;Hombres;2010;7409
03;Alicante/Alacant;Hombres;2009;7287
03;Alicante/Alacant;Hombres;2008;7552
03;Alicante/Alacant;Hombres;2007;7444
03;Alicante/Alacant;Hombres;2006;7068
03;Alicante/Alacant;Hombres;2005;7201
03;Alicante/Alacant;Hombres;2004;6971
03;Alicante/Alacant;Hombres;2003;7083
03;Alicante/Alacant;Hombres;2002;6818
03;Alicante/Alacant;Hombres;2001;6751
03;Alicante/Alacant;Hombres;2000;6469
03;Alicante/Alacant;Hombres;1999;6640
03;Alicante/Alacant;Hombres;1998;6148
03;Alicante/Alacant;Hombres;1997;6224
03;Alicante/Alacant;Hombres;1996;6042
03;Alicante/Alacant;Hombres;1995;5890
03;Alicante/Alacant;Hombres;1994;5775
03;Alicante/Alacant;Hombres;1993;5723
03;Alicante/Alacant;Hombres;1992;5633
