cod_prov;prov;nameH;freqH;por1000H;nameM;freqM;por1000M
01;ARABA/ÁLAVA;JOSE MARIA;157;49;MARIA CARMEN;279;49.4
02;ALBACETE;JOSE;1230;90.1;MARIA;1582;76.5
03;ALICANTE/ALACANT;JOSE;2528;151.1;MARIA;2202;82.5
04;ALMERÍA;JOSE;1592;132.1;MARIA;2470;123.4
05;AVILA;JESUS;282;29.7;MARIA;600;42.2
06;BADAJOZ;JOSE;2087;94.9;MARIA;2856;75.3
07;BALEARS, ILLES;JUAN;1164;123.2;MARIA;2293;152
08;BARCELONA;JOSE;3340;84.8;MARIA;5049;76.4
09;BURGOS;JESUS;404;29;MARIA CARMEN;667;29.6
10;CÁCERES;JOSE;998;55;MARIA;1704;57
11;CÁDIZ;JOSE;2237;136.9;MARIA;2317;80.5
12;CASTELLÓN/CASTELLÓ;JOSE;933;122.1;CARMEN;973;81.5
13;CIUDAD REAL;ANTONIO;1084;61;CARMEN;1245;42.8
14;CÓRDOBA;ANTONIO;3029;129.2;CARMEN;3349;84.9
15;CORUÑA, A;MANUEL;3617;138;MARIA;3561;80.3
16;CUENCA;JOSE;720;54.5;CARMEN;1039;52.7
17;GIRONA;JOSE;576;79.9;MARIA;1305;111.3
18;GRANADA;JOSE;3611;154.9;MARIA;3686;97.4
19;GUADALAJARA;ANTONIO;335;43;CARMEN;521;44.7
20;GIPUZKOA;JOSE MARIA;446;52.5;MARIA CARMEN;919;61.5
21;HUELVA;MANUEL;1195;134.4;JOSEFA;1122;71.7
22;HUESCA;JOSE;742;107.4;PILAR;715;67.1
23;JAÉN;ANTONIO;2685;104.9;MARIA;2696;63.6
24;LEÓN;JOSE;905;50.2;MARIA;777;26.6
25;LLEIDA;JOSE;745;93;MARIA;1253;103.7
26;RIOJA, LA;JESUS;298;42.5;MARIA CARMEN;495;42
27;LUGO;JOSE;2152;130.5;CARMEN;1264;50.2
28;MADRID;ANTONIO;2281;62.2;CARMEN;4197;64.2
29;MÁLAGA;JOSE;3103;162.6;MARIA;4286;131.3
30;MURCIA;JOSE;3429;141.4;MARIA;3852;101.3
31;NAVARRA;JESUS;608;54.4;MARIA CARMEN;880;46.3
32;OURENSE;JOSE;1765;122.2;MARIA;1326;59.1
33;ASTURIAS;MANUEL;1404;66.7;MARIA CARMEN;1450;37.2
34;PALENCIA;JESUS;322;42.7;MARIA CARMEN;465;35.7
35;PALMAS, LAS;JOSE;934;87.2;CARMEN;1044;57.9
36;PONTEVEDRA;JOSE;2268;128.9;CARMEN;2425;77.6
37;SALAMANCA;MANUEL;733;48.8;MARIA;627;28.1
38;SANTA CRUZ DE TENERIFE;MANUEL;611;54;MARIA CARMEN;899;44.7
39;CANTABRIA;MANUEL;637;56;MARIA CARMEN;1100;54.2
40;SEGOVIA;ANTONIO;257;33;MARIA;398;32.9
41;SEVILLA;MANUEL;3633;148.1;CARMEN;4028;91.3
42;SORIA;JESUS;226;34.4;CARMEN;302;30.6
43;TARRAGONA;JOSE;866;109.2;MARIA;827;68.1
44;TERUEL;JOSE;672;79.6;PILAR;863;67.1
45;TOLEDO;ANTONIO;813;43.6;CARMEN;1389;48.6
46;VALENCIA/VALÈNCIA;JOSE;4125;144.8;MARIA;3699;78.2
47;VALLADOLID;ANGEL;340;30.3;MARIA CARMEN;766;41.8
48;BIZKAIA;JOSE LUIS;586;48.5;MARIA CARMEN;1412;62.3
49;ZAMORA;MANUEL;633;55;MARIA;699;40.4
50;ZARAGOZA;JOSE;1025;64.9;PILAR;1825;70.6
51;CEUTA;JOSE;164;137.7;MARIA;211;93
52;MELILLA;JOSE;181;117;MARIA;244;83.7
66;NACIDOS EN EL EXTRANJERO;JOSE;494;16.4;MARIA;843;19.8
