cod_prov;prov;nameH;freqH;por1000H;nameM;freqM;por1000M
01;ARABA/ÁLAVA;JAVIER;677;32.2;MARTA;477;23.4
02;ALBACETE;ANTONIO;1494;49.9;MARIA CARMEN;1237;42.6
03;ALICANTE/ALACANT;ANTONIO;3324;33.6;MARIA CARMEN;3524;36.9
04;ALMERÍA;ANTONIO;1827;48.5;MARIA CARMEN;1607;43.7
05;AVILA;DAVID;424;37.3;MARIA TERESA;346;31.3
06;BADAJOZ;MANUEL;2244;42.9;MARIA CARMEN;2352;46.1
07;BALEARS, ILLES;ANTONIO;3034;55.8;CATALINA;2003;38.1
08;BARCELONA;DAVID;21926;54.4;MONTSERRAT;13279;34.2
09;BURGOS;ROBERTO;869;33.2;MARTA;736;29.2
10;CÁCERES;FRANCISCO JAVIER;1112;36.6;MARIA CARMEN;991;34
11;CÁDIZ;FRANCISCO JAVIER;4743;46.3;MARIA CARMEN;5419;54.3
12;CASTELLÓN/CASTELLÓ;DAVID;1029;32;MARIA CARMEN;1076;34.6
13;CIUDAD REAL;MIGUEL ANGEL;1397;37;MARIA CARMEN;1778;48.4
14;CÓRDOBA;RAFAEL;3909;62.3;MARIA CARMEN;4112;67
15;CORUÑA, A;JOSE MANUEL;4114;49.8;MARIA CARMEN;3191;39.5
16;CUENCA;JESUS;484;34.9;MARIA CARMEN;518;38.4
17;GIRONA;JORDI;2760;78.2;MARTA;1352;39.9
18;GRANADA;ANTONIO;2986;44.1;MARIA CARMEN;3179;47.8
19;GUADALAJARA;DAVID;391;45.3;RAQUEL;257;31.1
20;GIPUZKOA;AITOR;2108;33.9;AINHOA;1842;31
21;HUELVA;MANUEL;1624;44.4;MARIA CARMEN;1500;42.5
22;HUESCA;DAVID;426;34;MARIA PILAR;473;39.9
23;JAÉN;ANTONIO;2902;53.2;MARIA CARMEN;2736;52.2
24;LEÓN;JAVIER;1135;31.1;MONICA;986;28
25;LLEIDA;JORDI;1554;61.5;MONTSERRAT;1056;42.7
26;RIOJA, LA;DAVID;699;37.5;MARTA;496;27.2
27;LUGO;JOSE MANUEL;1103;48;MARIA JOSE;929;40.4
28;MADRID;DAVID;20682;49.5;RAQUEL;11726;29.1
29;MÁLAGA;FRANCISCO JAVIER;3986;43.2;MARIA CARMEN;3568;40.1
30;MURCIA;ANTONIO;5319;57.6;MARIA CARMEN;4094;45.6
31;NAVARRA;FRANCISCO JAVIER;1589;39.7;MARIA;968;25.1
32;OURENSE;JOSE MANUEL;901;41.3;MARIA CARMEN;730;33.9
33;ASTURIAS;JAVIER;2349;28.3;MONICA;2431;30.2
34;PALENCIA;DAVID;409;33.2;MARIA CARMEN;364;30.2
35;PALMAS, LAS;FRANCISCO JAVIER;1841;25.3;MARIA CARMEN;1641;23.1
36;PONTEVEDRA;JOSE MANUEL;2523;34.6;MARIA CARMEN;2568;35.5
37;SALAMANCA;FRANCISCO JAVIER;806;31;MARIA CARMEN;828;32.6
38;SANTA CRUZ DE TENERIFE;FRANCISCO JAVIER;1896;30;MARIA CANDELARIA;1664;27.1
39;CANTABRIA;DAVID;1420;34.5;MARIA CARMEN;960;24
40;SEGOVIA;DAVID;436;41.6;CRISTINA;248;24.3
41;SEVILLA;MANUEL;8057;53.1;MARIA CARMEN;7991;54.2
42;SORIA;JAVIER;162;29.1;MARIA CARMEN;154;27.7
43;TARRAGONA;JORDI;1972;49.6;MONTSERRAT;1507;39.5
44;TERUEL;JAVIER;286;33.9;MARIA PILAR;437;54.2
45;TOLEDO;MIGUEL ANGEL;1115;32.5;MARIA CARMEN;1330;40.3
46;VALENCIA/VALÈNCIA;DAVID;5060;28.9;MARIA CARMEN;6435;37.9
47;VALLADOLID;DAVID;1739;42.7;MARIA CARMEN;1021;26.1
48;BIZKAIA;AITOR;3173;30.3;SONIA;2520;24.9
49;ZAMORA;MIGUEL ANGEL;414;29.3;MARIA CARMEN;497;36.9
50;ZARAGOZA;DAVID;2791;44.6;MARIA PILAR;3022;50.2
51;CEUTA;MOHAMED;313;50.5;GEMA;118;19.4
52;MELILLA;MOHAMED;162;35.2;MARIA CARMEN;132;29
66;NACIDOS EN EL EXTRANJERO;MOHAMED;13406;16.5;FATIMA;6104;7.4
