cod_prov;prov;nameH;freqH;por1000H;nameM;freqM;por1000M
01;ARABA/ÁLAVA;JOSE LUIS;24;40.5;CARMEN;46;26
02;ALBACETE;JOSE;193;92.1;MARIA;351;80.3
03;ALICANTE/ALACANT;JOSE;385;160.5;MARIA;571;96.1
04;ALMERÍA;JOSE;229;126.9;MARIA;587;130.7
05;AVILA;JOSE;52;29.4;MARIA;200;50
06;BADAJOZ;JOSE;282;91.9;MARIA;611;76.9
07;BALEARS, ILLES;JUAN;192;127.4;MARIA;595;151.2
08;BARCELONA;JOSE;580;84.7;MARIA;1848;97.8
09;BURGOS;JESUS;71;27.7;CARMEN;149;21.9
10;CÁCERES;JOSE;135;50.7;MARIA;435;64.2
11;CÁDIZ;JOSE;263;144.3;MARIA;423;82.5
12;CASTELLÓN/CASTELLÓ;JOSE;161;123.9;CARMEN;244;81.6
13;CIUDAD REAL;ANTONIO;157;56.9;CARMEN;256;40.6
14;CÓRDOBA;ANTONIO;464;132.1;CARMEN;704;80
15;CORUÑA, A;JOSE;626;157;MARIA;1042;96.4
16;CUENCA;ANTONIO;91;42.3;MARIA;265;58.2
17;GIRONA;JOSE;115;81.6;MARIA;501;132.3
18;GRANADA;ANTONIO;470;152;MARIA;769;103.7
19;GUADALAJARA;JOSE;54;31.3;MARIA;187;49.5
20;GIPUZKOA;JOSE;69;53.5;MARIA;205;44.9
21;HUELVA;JOSE;159;141;MARIA;243;76.8
22;HUESCA;JOSE;154;109.8;MARIA;283;80.2
23;JAÉN;ANTONIO;359;96.5;MARIA;527;59.6
24;LEÓN;JOSE;180;53.4;MARIA;253;30.7
25;LLEIDA;JOSE;178;104.3;MARIA;540;138.1
26;RIOJA, LA;ANTONIO;53;41.6;CARMEN;141;43
27;LUGO;JOSE;428;137.3;CARMEN;356;52.3
28;MADRID;JOSE;317;53.5;CARMEN;1143;65.1
29;MÁLAGA;JOSE;423;167.1;MARIA;863;138
30;MURCIA;JOSE;534;145.3;MARIA;857;108.3
31;NAVARRA;JESUS;114;62.3;CARMEN;178;31.5
32;OURENSE;JOSE;348;132.9;MARIA;373;60.5
33;ASTURIAS;MANUEL;295;78.5;MARIA LUISA;410;35.1
34;PALENCIA;JESUS;45;33.4;MARIA;94;24.3
35;PALMAS, LAS;JOSE;125;91.3;CARMEN;206;60.2
36;PONTEVEDRA;JOSE;375;140;CARMEN;634;84.6
37;SALAMANCA;JOSE;140;51.1;MARIA;234;37.4
38;SANTA CRUZ DE TENERIFE;ANTONIO;84;53;MARIA;136;34.1
39;CANTABRIA;MANUEL;114;57.7;CARMEN;239;39.6
40;SEGOVIA;MARIANO;53;35.5;MARIA;169;46.3
41;SEVILLA;MANUEL;434;154.6;CARMEN;778;98.1
42;SORIA;JOSE;39;27.7;CARMEN;102;32.5
43;TARRAGONA;JOSE;204;123.6;MARIA;387;100.4
44;TERUEL;JOSE;151;87;MARIA;278;70.1
45;TOLEDO;ANTONIO;127;37.5;MARIA;396;52.1
46;VALENCIA/VALÈNCIA;JOSE;571;151;MARIA;822;84.8
47;VALLADOLID;LUIS;52;28.1;MARIA;192;37.2
48;BIZKAIA;JOSE LUIS;86;41.4;MARIA CARMEN;321;46
49;ZAMORA;MANUEL;123;59.1;MARIA;231;50.8
50;ZARAGOZA;JOSE;216;78.5;PILAR;563;80.1
51;CEUTA;ANTONIO;16;132.2;MARIA;43;99.8
52;MELILLA;JOSE;22;105.8;MARIA;64;97.3
66;NACIDOS EN EL EXTRANJERO;JOSE;113;30.9;MARIA;277;34.9
