cod_prov;prov;nameH;freqH;por1000H;nameM;freqM;por1000M
01;ARABA/ÁLAVA;MARKEL;24;20.4;LAIA;28;25.1
02;ALBACETE;PABLO;30;23.8;LUCIA;31;25.4
03;ALICANTE/ALACANT;LUCAS;130;20.6;SOFIA;121;19.9
04;ALMERÍA;HUGO;67;19.5;MARIA;98;30.8
05;AVILA;MARTIN;12;32.3;MARTINA;14;40.2
06;BADAJOZ;MARTIN;82;34.5;LUCIA;78;34.2
07;BALEARS, ILLES;MARC;108;25;MARTINA;87;20.7
08;BARCELONA;MARC;346;16.9;EMMA;321;16.3
09;BURGOS;HUGO;36;35.2;LUCIA;34;34
10;CÁCERES;ALEJANDRO;29;26.8;MARTINA;30;28.5
11;CÁDIZ;MANUEL;161;38.6;MARIA;139;34.2
12;CASTELLÓN/CASTELLÓ;HUGO;43;21.9;SOFIA;38;20.1
13;CIUDAD REAL;MATEO;49;29.6;LUCIA;48;30.8
14;CÓRDOBA;HUGO;87;31.9;MARIA;119;44.9
15;CORUÑA, A;MATEO;107;33.1;SOFIA;87;28.2
16;CUENCA;DIEGO;13;27.7;MARTINA;12;24.3
17;GIRONA;JAN;74;23.9;JULIA;44;15.2
18;GRANADA;HUGO;88;29.6;MARIA;82;27.3
19;GUADALAJARA;MATEO;21;26.9;LUCIA;20;25.8
20;GIPUZKOA;MARTIN;53;20.4;MADDI;55;22.6
21;HUELVA;MANUEL;92;47.6;MARIA;57;32.6
22;HUESCA;LUCAS;19;26.9;SOFIA;17;24.8
23;JAÉN;HUGO;74;34;MARIA;94;46.4
24;LEÓN;MARTIN;41;37.6;MARTINA;32;31
25;LLEIDA;POL;29;18.8;JULIA;39;24.4
26;RIOJA, LA;MARTIN;39;33.8;SOFIA;30;27.2
27;LUGO;MATEO;35;43.4;SOFIA;29;35.8
28;MADRID;MATEO;667;25.4;LUCIA;651;25.9
29;MÁLAGA;HUGO;136;23.4;MARIA;180;31.6
30;MURCIA;PABLO;144;20.6;MARIA;170;26.7
31;NAVARRA;JULEN;45;17.9;LUCIA;47;19.8
32;OURENSE;GAEL;27;34.8;SOFIA;22;33.3
33;ASTURIAS;LUCAS;77;31.9;SOFIA;58;25
34;PALENCIA;DIEGO;14;29.5;PAULA;13;31.5
35;PALMAS, LAS;MATEO;58;20.1;SOFIA;54;19.6
36;PONTEVEDRA;MATEO;103;37.3;NOA;82;29.5
37;SALAMANCA;MARTIN;29;32.3;VEGA;32;38
38;SANTA CRUZ DE TENERIFE;MATEO;73;25.7;SOFIA;54;20.2
39;CANTABRIA;MARTIN;54;31.8;LUCIA;49;31.2
40;SEGOVIA;IZAN;12;29.1;LUCIA;13;29.6
41;SEVILLA;MANUEL;346;45.5;MARIA;241;33.6
42;SORIA;DIEGO;8;29.9;LUCIA;7;27.1
43;TARRAGONA;MARC;46;16.5;JULIA;50;18.5
44;TERUEL;MARTIN;16;37.1;PAULA;11;25.9
45;TOLEDO;MATEO;61;27.1;LUCIA;60;28.5
46;VALENCIA/VALÈNCIA;MATEO;234;26.2;SOFIA;184;21.9
47;VALLADOLID;MATEO;56;35;LUCIA;52;34
48;BIZKAIA;MARKEL;80;21.2;ANE;82;23.8
49;ZAMORA;ENZO;12;30.8;SOFIA;16;56.3
50;ZARAGOZA;MATEO;87;26.6;LUCIA;85;26.8
51;CEUTA;MOHAMED;13;41.7;AMIRA;15;50.3
52;MELILLA;MOHAMED;17;39.8;AMIRA;16;38.4
66;NACIDOS EN EL EXTRANJERO;MOHAMED;19;14.3;SOFIA;26;20.9
