cod_prov;prov;nameH;freqH;por1000H;nameM;freqM;por1000M
01;ARABA/ÁLAVA;DAVID;689;45.8;ESTIBALIZ;370;25.9
02;ALBACETE;DAVID;821;35;MARIA;648;29.1
03;ALICANTE/ALACANT;DAVID;3100;38.3;LAURA;2154;27.8
04;ALMERÍA;ANTONIO;1112;33.2;MARIA MAR;1386;43.3
05;AVILA;DAVID;455;56.2;MARIA;309;39.7
06;BADAJOZ;DAVID;1492;32.3;MARIA;1363;31
07;BALEARS, ILLES;ANTONIO;1713;38.7;CRISTINA;1245;29.1
08;BARCELONA;DAVID;11965;46.7;LAURA;10404;42.3
09;BURGOS;DAVID;1136;64;LAURA;730;43
10;CÁCERES;DAVID;1107;44.1;MARIA;783;33.4
11;CÁDIZ;FRANCISCO JAVIER;2708;31.7;MARIA CARMEN;2857;34.9
12;CASTELLÓN/CASTELLÓ;DAVID;1102;45.1;MARIA;794;34.5
13;CIUDAD REAL;DAVID;1214;38.3;CRISTINA;1001;33.4
14;CÓRDOBA;RAFAEL;2784;51.9;MARIA CARMEN;2134;41.5
15;CORUÑA, A;DAVID;2650;44.4;MARIA;1869;32.7
16;CUENCA;DAVID;518;49.8;MARIA;368;37.1
17;GIRONA;JORDI;1711;64.4;CRISTINA;1196;46.2
18;GRANADA;ANTONIO;1767;31.4;MARIA CARMEN;1676;31
19;GUADALAJARA;DAVID;400;52.7;MARIA;314;44.3
20;GIPUZKOA;MIKEL;1752;49.7;NEREA;1003;29.9
21;HUELVA;MANUEL;1108;36;ROCIO;1486;49.8
22;HUESCA;DAVID;385;41.9;MARIA;349;40.6
23;JAÉN;ANTONIO;1913;41.1;MARIA CARMEN;1754;39.4
24;LEÓN;DAVID;1659;60.6;LAURA;1021;38.9
25;LLEIDA;JORDI;1155;63.1;NURIA;673;38.5
26;RIOJA, LA;DAVID;910;65.9;MARIA;605;46.3
27;LUGO;IVAN;750;41.3;LUCIA;588;33.2
28;MADRID;DAVID;13816;47.5;LAURA;11338;40.7
29;MÁLAGA;DANIEL;2650;33.4;ROCIO;2724;35.9
30;MURCIA;ANTONIO;3276;42.1;MARIA CARMEN;1980;26.8
31;NAVARRA;JAVIER;1759;62.7;MARIA;1055;39.8
32;OURENSE;DAVID;762;47.3;CRISTINA;428;27.6
33;ASTURIAS;DAVID;2973;54.2;MARIA;1978;37.7
34;PALENCIA;DAVID;559;56.9;LAURA;378;40.2
35;PALMAS, LAS;DAVID;1082;18.9;CRISTINA;740;13.3
36;PONTEVEDRA;DAVID;2541;47.3;MARIA;1491;28.9
37;SALAMANCA;DAVID;1084;53;MARIA;778;40.7
38;SANTA CRUZ DE TENERIFE;DAVID;1078;22.1;YURENA;919;19.2
39;CANTABRIA;DAVID;1485;48.9;MARIA;1264;44
40;SEGOVIA;DAVID;380;50.4;MARIA;297;41.8
41;SEVILLA;MANUEL;5077;42.3;ROCIO;4436;38.6
42;SORIA;DAVID;269;62.6;MARIA;201;48.5
43;TARRAGONA;DAVID;1446;46.9;CRISTINA;919;31.2
44;TERUEL;DAVID;286;47.3;LAURA;199;34.9
45;TOLEDO;DAVID;1562;50.8;MARIA;1092;37.5
46;VALENCIA/VALÈNCIA;DAVID;5141;39.7;MARIA;4091;33.3
47;VALLADOLID;DAVID;1527;55.2;LAURA;1090;41.4
48;BIZKAIA;DAVID;2207;36.4;LEIRE;1343;23
49;ZAMORA;DAVID;511;49.5;MARIA;341;35
50;ZARAGOZA;DAVID;2144;48.5;MARIA;1558;36.8
51;CEUTA;MOHAMED;225;43.8;CRISTINA;130;25
52;MELILLA;MOHAMED;239;49.9;SORAYA;78;17.6
66;NACIDOS EN EL EXTRANJERO;MOHAMED;12428;16.1;FATIMA;6098;7.1
