cod_prov;prov;nameH;freqH;por1000H;nameM;freqM;por1000M
01;ARABA/ÁLAVA;JOSE LUIS;341;50.6;MARIA CARMEN;527;64.5
02;ALBACETE;JOSE;2570;91.1;MARIA;2015;60
03;ALICANTE/ALACANT;JOSE;3921;113.1;JOSEFA;3298;78.4
04;ALMERÍA;JOSE;2571;108.9;MARIA;2632;89.1
05;AVILA;JESUS;738;39.6;MARIA CARMEN;917;41.1
06;BADAJOZ;ANTONIO;4639;90.2;MARIA;3668;56.4
07;BALEARS, ILLES;JUAN;2118;110;CATALINA;2769;119.3
08;BARCELONA;JOSE;5989;67.4;MONTSERRAT;6456;60.4
09;BURGOS;JOSE LUIS;1045;38.5;MARIA CARMEN;1855;56
10;CÁCERES;ANTONIO;2197;57.2;MARIA;2105;44.2
11;CÁDIZ;JOSE;5150;114.4;MARIA CARMEN;3757;67.4
12;CASTELLÓN/CASTELLÓ;VICENTE;1480;91.2;CARMEN;1209;63.8
13;CIUDAD REAL;ANTONIO;2383;63.3;CARMEN;1959;42.4
14;CÓRDOBA;ANTONIO;6944;128.6;CARMEN;5053;75.7
15;CORUÑA, A;MANUEL;6876;130.7;MARIA CARMEN;6463;95.8
16;CUENCA;ANTONIO;1294;52.4;CARMEN;1415;48
17;GIRONA;JOSEP;1196;82.8;MARIA;1123;67
18;GRANADA;ANTONIO;7351;140.8;CARMEN;4486;70.8
19;GUADALAJARA;ANTONIO;601;45;MARIA CARMEN;727;46.7
20;GIPUZKOA;JOSE MARIA;1185;57.5;MARIA CARMEN;1928;76.4
21;HUELVA;MANUEL;2753;127.6;JOSEFA;1732;64
22;HUESCA;ANTONIO;960;81.3;MARIA PILAR;988;70.7
23;JAÉN;ANTONIO;5326;99.5;MARIA;3469;52
24;LEÓN;MANUEL;1453;41.7;MARIA CARMEN;1678;39.9
25;LLEIDA;RAMON;1276;82.7;MARIA;872;47.9
26;RIOJA, LA;JOSE LUIS;680;46.9;MARIA CARMEN;1303;74
27;LUGO;MANUEL;3184;116.3;MARIA CARMEN;2358;68.8
28;MADRID;ANTONIO;5400;57.5;MARIA CARMEN;10235;90.2
29;MÁLAGA;ANTONIO;6502;137.6;MARIA;5397;92.2
30;MURCIA;JOSE;6019;127.8;JOSEFA;5303;92.5
31;NAVARRA;FRANCISCO JAVIER;1064;45.5;MARIA CARMEN;2016;71.8
32;OURENSE;MANUEL;2916;114.2;MARIA;1523;48.1
33;ASTURIAS;JOSE MANUEL;2403;56.3;MARIA CARMEN;3533;64.6
34;PALENCIA;JESUS;672;42.1;MARIA CARMEN;1194;60.6
35;PALMAS, LAS;JOSE;1554;60;MARIA CARMEN;2019;62.4
36;PONTEVEDRA;MANUEL;4908;127;MARIA CARMEN;4263;87.4
37;SALAMANCA;JOSE;1404;48.2;MARIA CARMEN;1394;40.7
38;SANTA CRUZ DE TENERIFE;MANUEL;1064;40.6;MARIA CARMEN;1919;57.7
39;CANTABRIA;JOSE LUIS;1069;46;MARIA CARMEN;2346;81.4
40;SEGOVIA;JOSE LUIS;509;34.8;MARIA CARMEN;910;52.1
41;SEVILLA;MANUEL;9627;142.6;CARMEN;5907;69.4
42;SORIA;JESUS;514;44.7;MARIA CARMEN;634;47.3
43;TARRAGONA;JOSE;1251;74.9;MARIA TERESA;980;50.3
44;TERUEL;JOSE;861;62.4;PILAR;849;51.5
45;TOLEDO;ANTONIO;1878;51.1;MARIA CARMEN;2255;51.8
46;VALENCIA/VALÈNCIA;JOSE;6890;107.3;MARIA CARMEN;4396;55.5
47;VALLADOLID;JESUS;1057;44.5;MARIA CARMEN;2040;70.1
48;BIZKAIA;JOSE LUIS;1247;45.8;MARIA CARMEN;2532;74.4
49;ZAMORA;MANUEL;1217;54.7;MARIA CARMEN;1132;42.9
50;ZARAGOZA;ANTONIO;1809;54.8;MARIA PILAR;3943;98.2
51;CEUTA;ANTONIO;295;87.7;MARIA CARMEN;298;71.9
52;MELILLA;JOSE;355;87.8;MARIA CARMEN;362;70.5
66;NACIDOS EN EL EXTRANJERO;MOHAMED;1394;12.9;MARIA;1321;9.8
