cod_prov;prov;nameH;freqH;por1000H;nameM;freqM;por1000M
01;ARABA/ÁLAVA;JOSE MARIA;342;34.7;MARIA CARMEN;584;54.8
02;ALBACETE;ANTONIO;2765;79.9;JOSEFA;1633;44.3
03;ALICANTE/ALACANT;JOSE;3323;66.1;MARIA CARMEN;3171;58.9
04;ALMERÍA;ANTONIO;3097;92.7;MARIA;2125;59.6
05;AVILA;JESUS;1047;50;MARIA CARMEN;1197;54.4
06;BADAJOZ;MANUEL;5846;82;ANTONIA;3502;45.2
07;BALEARS, ILLES;ANTONIO;2262;88.1;CATALINA;2546;94.2
08;BARCELONA;JOSE;8490;53;MONTSERRAT;11930;69.9
09;BURGOS;JOSE LUIS;1197;36.5;MARIA CARMEN;2017;57.7
10;CÁCERES;ANTONIO;2401;48.9;MARIA CARMEN;2548;47.9
11;CÁDIZ;MANUEL;7411;102.1;MARIA CARMEN;6172;79
12;CASTELLÓN/CASTELLÓ;VICENTE;1230;60.9;MARIA CARMEN;1304;60.9
13;CIUDAD REAL;ANTONIO;2969;58.1;MARIA CARMEN;2864;52.1
14;CÓRDOBA;ANTONIO;8436;118.2;MARIA CARMEN;4799;62.2
15;CORUÑA, A;MANUEL;6641;101.3;MARIA CARMEN;8209;112.1
16;CUENCA;JESUS;1309;48.5;MARIA CARMEN;1645;56.7
17;GIRONA;JOSEP;1650;80.3;MONTSERRAT;1186;53.7
18;GRANADA;ANTONIO;8841;118.5;MARIA CARMEN;5444;68.3
19;GUADALAJARA;JESUS;629;43.7;MARIA CARMEN;854;55.5
20;GIPUZKOA;JOSE MARIA;1533;44.4;MARIA CARMEN;2095;56.7
21;HUELVA;MANUEL;3290;109.3;MANUELA;1804;55.2
22;HUESCA;ANTONIO;866;57.5;MARIA PILAR;1301;80.5
23;JAÉN;ANTONIO;6494;91;MARIA CARMEN;3430;44.8
24;LEÓN;MANUEL;1712;35.3;MARIA CARMEN;2589;49.5
25;LLEIDA;RAMON;1382;61.5;MARIA CARMEN;1204;50.5
26;RIOJA, LA;JOSE LUIS;733;41.7;MARIA CARMEN;1330;72.5
27;LUGO;MANUEL;3160;102.7;MARIA CARMEN;3015;89.5
28;MADRID;ANTONIO;7766;46.4;MARIA CARMEN;13759;77.3
29;MÁLAGA;ANTONIO;7268;114.2;MARIA CARMEN;4217;61.7
30;MURCIA;JOSE;6875;105.6;JOSEFA;5827;83.3
31;NAVARRA;FRANCISCO JAVIER;1990;65.7;MARIA CARMEN;2037;63.7
32;OURENSE;MANUEL;2716;99.6;MARIA CARMEN;1897;64
33;ASTURIAS;JOSE MANUEL;3328;49.8;MARIA CARMEN;4348;58.9
34;PALENCIA;JOSE LUIS;809;39;MARIA CARMEN;1412;62
35;PALMAS, LAS;FRANCISCO;1714;40.7;MARIA CARMEN;3329;72.2
36;PONTEVEDRA;MANUEL;5126;100.9;MARIA CARMEN;5689;100.2
37;SALAMANCA;MANUEL;1488;42.7;MARIA CARMEN;1858;50
38;SANTA CRUZ DE TENERIFE;MANUEL;1044;26.7;MARIA CARMEN;2383;56.2
39;CANTABRIA;JOSE LUIS;1400;40.4;MARIA CARMEN;2608;69.5
40;SEGOVIA;JOSE LUIS;695;40.4;MARIA CARMEN;1018;56.2
41;SEVILLA;MANUEL;12487;124;MARIA CARMEN;8074;73.8
42;SORIA;JESUS;592;50.5;MARIA CARMEN;671;53.8
43;TARRAGONA;JOSE;918;41.8;MARIA TERESA;1194;51.4
44;TERUEL;MANUEL;746;44.7;MARIA PILAR;1116;64
45;TOLEDO;JESUS;2233;51.1;MARIA CARMEN;3030;66.1
46;VALENCIA/VALÈNCIA;VICENTE;5941;63.2;MARIA CARMEN;6307;62.3
47;VALLADOLID;JOSE LUIS;1374;44.7;MARIA CARMEN;2345;70.9
48;BIZKAIA;FRANCISCO JAVIER;2219;42.3;MARIA CARMEN;3373;59.9
49;ZAMORA;MANUEL;1211;47.8;MARIA CARMEN;1469;53.9
50;ZARAGOZA;JESUS;2143;48.1;MARIA PILAR;4788;102
51;CEUTA;ANTONIO;301;57.9;MARIA CARMEN;413;73.4
52;MELILLA;ANTONIO;341;53.8;MARIA CARMEN;498;74.9
66;NACIDOS EN EL EXTRANJERO;MOHAMED;4333;17.8;MARIA;3219;10.9
