cod_prov;prov;nameH;freqH;por1000H;nameM;freqM;por1000M
01;ARABA/ÁLAVA;MARKEL;319;21;ANE;327;22.8
02;ALBACETE;ALEJANDRO;468;26.5;MARIA;567;34.4
03;ALICANTE/ALACANT;DANIEL;1745;22.3;LUCIA;1825;24.9
04;ALMERÍA;ALEJANDRO;939;24.6;MARIA;1085;29.9
05;AVILA;DANIEL;196;35.3;LUCIA;173;34.2
06;BADAJOZ;DANIEL;1008;33.2;MARIA;1027;35.7
07;BALEARS, ILLES;MARC;1614;31.3;PAULA;1023;21
08;BARCELONA;MARC;7151;27.7;MARTINA;5733;23.5
09;BURGOS;ADRIAN;408;29.3;LUCIA;425;32.6
10;CÁCERES;PABLO;477;32.5;LUCIA;466;33.6
11;CÁDIZ;HUGO;1959;32.8;MARIA;2228;39.6
12;CASTELLÓN/CASTELLÓ;MARC;650;25.1;LUCIA;560;23
13;CIUDAD REAL;DANIEL;625;28.7;LUCIA;687;33
14;CÓRDOBA;ALEJANDRO;1171;32.6;MARIA;1429;42.2
15;CORUÑA, A;MATEO;1414;33.5;NOA;1113;28.2
16;CUENCA;PABLO;193;27.6;LUCIA;198;29.4
17;GIRONA;MARC;912;25.2;JULIA;834;24.3
18;GRANADA;ALEJANDRO;1274;29.7;MARIA;1342;33.4
19;GUADALAJARA;HUGO;304;29.4;LUCIA;309;31.2
20;GIPUZKOA;MARKEL;750;24;ANE;939;31.5
21;HUELVA;MANUEL;925;37.5;MARIA;893;38.1
22;HUESCA;MARTIN;187;21.5;LUCIA;214;25.5
23;JAÉN;ALEJANDRO;956;34.5;MARIA;1167;44.6
24;LEÓN;MARTIN;496;32.9;LUCIA;442;31.2
25;LLEIDA;MARC;512;26.2;JULIA;470;25.2
26;RIOJA, LA;DANIEL;353;25.4;LUCIA;378;28.9
27;LUGO;HUGO;347;33.3;NOA;300;29.7
28;MADRID;DANIEL;9112;28.3;LUCIA;9182;30.1
29;MÁLAGA;ALEJANDRO;2135;27.8;MARIA;2345;32.2
30;MURCIA;PABLO;2140;26.8;MARIA;2460;32.7
31;NAVARRA;AIMAR;602;19.9;IRATI;589;20.4
32;OURENSE;HUGO;322;35.1;SARA;274;32.1
33;ASTURIAS;MARTIN;1083;32.1;LUCIA;967;30.3
34;PALENCIA;DANIEL;186;33.7;LUCIA;171;33.3
35;PALMAS, LAS;HUGO;1004;23.7;DANIELA;760;18.9
36;PONTEVEDRA;MATEO;1221;33;NOA;989;28.9
37;SALAMANCA;HUGO;406;34.3;VEGA;384;34.2
38;SANTA CRUZ DE TENERIFE;HUGO;897;23.9;LUCIA;778;21.6
39;CANTABRIA;DANIEL;705;31;LUCIA;727;33.9
40;SEGOVIA;DANIEL;174;30.6;LUCIA;151;27.9
41;SEVILLA;MANUEL;3819;38.3;MARIA;3737;39.6
42;SORIA;PABLO;91;29.2;LUCIA;100;33
43;TARRAGONA;MARC;967;25.7;JULIA;771;22
44;TERUEL;DIEGO;124;24.1;LUCIA;143;28.8
45;TOLEDO;DANIEL;839;28.7;LUCIA;873;31.4
46;VALENCIA/VALÈNCIA;MARC;2875;25.5;LUCIA;2834;26.7
47;VALLADOLID;DANIEL;756;35.5;LUCIA;662;32.8
48;BIZKAIA;MARKEL;1390;29.2;ANE;1389;30.7
49;ZAMORA;HUGO;190;38.4;LUCIA;155;34
50;ZARAGOZA;DANIEL;1176;27.8;LUCIA;1227;30.5
51;CEUTA;MOHAMED;248;44.2;NOOR;139;26.5
52;MELILLA;MOHAMED;409;57.5;AMIRA;203;30.4
66;NACIDOS EN EL EXTRANJERO;ADAM;1691;12.1;SOFIA;1249;9.5
