cod_prov;prov;nameH;freqH;por1000H;nameM;freqM;por1000M
01;ARABA/ÁLAVA;MIKEL;488;44.4;MARIA;284;26.8
02;ALBACETE;CARLOS;720;35.3;MARIA;1006;52.6
03;ALICANTE/ALACANT;ALEJANDRO;2515;36.2;MARIA;2889;43.8
04;ALMERÍA;ALEJANDRO;946;31.8;MARIA MAR;917;32.9
05;AVILA;JAVIER;294;46.7;MARIA;353;58.3
06;BADAJOZ;MANUEL;1129;30.6;MARIA;1830;52
07;BALEARS, ILLES;ALEJANDRO;1123;27.7;LAURA;1245;32.4
08;BARCELONA;MARC;10278;48;LAURA;8951;44.3
09;BURGOS;DAVID;622;46.3;MARIA;576;45.6
10;CÁCERES;DAVID;810;41;MARIA;860;46.4
11;CÁDIZ;ALEJANDRO;2374;36;MARIA;2674;43.1
12;CASTELLÓN/CASTELLÓ;DAVID;746;36.3;MARIA;975;49.3
13;CIUDAD REAL;DAVID;935;35.1;MARIA;1255;49.5
14;CÓRDOBA;RAFAEL;2165;48.1;MARIA;1882;44.6
15;CORUÑA, A;ADRIAN;1676;41.5;LAURA;1565;40.8
16;CUENCA;JAVIER;349;40.2;MARIA;469;55.2
17;GIRONA;MARC;1365;53.4;LAURA;1069;43.9
18;GRANADA;ALEJANDRO;1706;35.5;MARIA;1909;41.6
19;GUADALAJARA;JAVIER;301;45.8;MARIA;333;52.6
20;GIPUZKOA;MIKEL;1416;50.8;ANE;1272;48.1
21;HUELVA;MANUEL;928;36.3;MARIA;1369;57.1
22;HUESCA;JAVIER;305;40.1;MARIA;359;50
23;JAÉN;ANTONIO;1367;35.1;MARIA;1798;49.1
24;LEÓN;DAVID;870;48.1;MARIA;702;41.7
25;LLEIDA;MARC;758;49.9;MARIA;549;38.4
26;RIOJA, LA;DAVID;474;45;MARIA;460;44.7
27;LUGO;ADRIAN;542;47.3;MARIA;451;40.6
28;MADRID;DANIEL;10528;43.1;MARIA;10201;43.9
29;MÁLAGA;ALEJANDRO;2773;41.3;MARIA;2606;40.7
30;MURCIA;ANTONIO;2408;36.2;MARIA;3195;50.5
31;NAVARRA;JAVIER;1198;48.4;MARIA;854;36.8
32;OURENSE;DAVID;458;42.7;ALBA;420;42
33;ASTURIAS;PABLO;1553;44.4;LAURA;1354;40.6
34;PALENCIA;DAVID;293;45;MARIA;289;46.1
35;PALMAS, LAS;ALEJANDRO;1213;25.1;LAURA;883;19.1
36;PONTEVEDRA;ADRIAN;1570;40.4;ANDREA;1389;38.1
37;SALAMANCA;JAVIER;631;44.2;MARIA;657;48.4
38;SANTA CRUZ DE TENERIFE;DANIEL;1252;30.5;LAURA;1043;26.7
39;CANTABRIA;PABLO;883;42.4;MARIA;847;43.6
40;SEGOVIA;DANIEL;288;45.8;MARIA;273;47.6
41;SEVILLA;MANUEL;3595;35.9;MARIA;4619;48.8
42;SORIA;JAVIER;155;46.8;MARIA;189;58.3
43;TARRAGONA;MARC;1187;45.5;LAURA;923;37.3
44;TERUEL;JAVIER;286;55.7;MARIA;237;47.8
45;TOLEDO;DAVID;1049;42.4;MARIA;1307;56
46;VALENCIA/VALÈNCIA;ALEJANDRO;3460;33.3;MARIA;4498;45.9
47;VALLADOLID;DAVID;854;42.9;MARIA;899;47.3
48;BIZKAIA;JON;2005;47.1;ANE;1268;31.5
49;ZAMORA;DAVID;285;41.3;MARIA;292;44.7
50;ZARAGOZA;ALEJANDRO;1622;45.4;MARIA;1606;47.2
51;CEUTA;MOHAMED;280;58;SARA;150;31.9
52;MELILLA;MOHAMED;417;80.8;YASMINA;100;21.2
66;NACIDOS EN EL EXTRANJERO;MOHAMED;8372;13.3;DANIELA;3352;5.2
